,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Votes,Gross collection,Description,Director,Star
12,DC League of Super-Pets,2022,105,7.2,56,"65,207",*****,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.","Directors:Jared Stern, Sam J. Levine","['Dwayne Johnson', 'Kevin Hart', 'Kate McKinnon', 'John Krasinski']"
13,Notting Hill,1999,124,7.2,68,"3,18,146",$116.09M,The life of a simple bookshop owner changes when he meets the most famous film star in the world.,Roger Michell,"['Hugh Grant', 'Julia Roberts', 'Richard McCabe', 'Rhys Ifans']"
14,West Side Story,2021,156,7.2,85,"85,096",*****,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",Steven Spielberg,"['Ansel Elgort', 'Rachel Zegler', 'Ariana DeBose', 'David Alvarez']"
15,Strange Days,1995,145,7.2,66,"73,649",$7.92M,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,Kathryn Bigelow,"['Ralph Fiennes', 'Angela Bassett', 'Juliette Lewis', 'Tom Sizemore']"
16,The Age of Adaline,2015,112,7.2,51,"1,85,258",$42.48M,"A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.",Lee Toland Krieger,"['Blake Lively', 'Michiel Huisman', 'Harrison Ford', 'Kathy Baker']"
17,King Kong,2005,187,7.2,81,"4,27,881",$218.08M,"A greedy film producer assembles a team of moviemakers and sets out for the infamous Skull Island, where they find more than just cannibalistic natives.",Peter Jackson,"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Thomas Kretschmann']"
18,Fantastic Beasts and Where to Find Them,2016,132,7.2,66,"4,80,567",$234.04M,The adventures of writer Newt Scamander in New York's secret community of witches and wizards seventy years before Harry Potter reads his book in school.,David Yates,"['Eddie Redmayne', 'Katherine Waterston', 'Alison Sudol', 'Dan Fogler']"
19,Hostiles,2017,134,7.2,65,"87,705",$29.82M,"In 1892, a legendary Army Captain reluctantly agrees to escort a Cheyenne chief and his family through dangerous territory.",Scott Cooper,"['Scott Shepherd', 'Rosamund Pike', 'Ava Cooper', 'Stella Cooper']"
20,The Passion of the Christ,2004,127,7.2,47,"2,33,787",$370.78M,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",Mel Gibson,"['Jim Caviezel', 'Monica Bellucci', 'Maia Morgenstern', 'Christo Jivkov']"
21,A.I. Artificial Intelligence,2001,146,7.2,65,"3,10,946",$78.62M,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",Steven Spielberg,"['Haley Joel Osment', 'Jude Law', ""Frances O'Connor"", 'Sam Robards']"
22,A Beautiful Day in the Neighborhood,2019,109,7.2,80,"82,060",$61.70M,Based on the true story of a real-life friendship between Fred Rogers and journalist Lloyd Vogel.,Marielle Heller,"['Matthew Rhys', 'Tom Hanks', 'Chris Cooper', 'Susan Kelechi Watson']"
23,Bridge to Terabithia,2007,96,7.2,74,"1,60,576",$82.27M,A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.,Gabor Csupo,"['Josh Hutcherson', 'AnnaSophia Robb', 'Zooey Deschanel', 'Robert Patrick']"
24,The Patriot,2000,165,7.2,63,"2,78,738",$113.33M,Peaceful farmer Benjamin Martin is driven to lead the Colonial Militia during the American Revolution when a sadistic British officer murders his son.,Roland Emmerich,"['Mel Gibson', 'Heath Ledger', 'Joely Richardson', 'Jason Isaacs']"
25,8 Mile,2002,110,7.2,77,"2,95,008",$116.72M,"Follows a young rapper in the Detroit area, struggling with every aspect of his life, wants to make it big but his friends and foes make this odyssey of rap harder than it may seem.",Curtis Hanson,"['Eminem', 'Brittany Murphy', 'Kim Basinger', 'Mekhi Phifer']"
26,Point Break,1991,122,7.2,58,"1,86,702",$43.22M,An F.B.I. Agent goes undercover to catch a gang of surfers who may be bank robbers.,Kathryn Bigelow,"['Patrick Swayze', 'Keanu Reeves', 'Gary Busey', 'Lori Petty']"
27,School of Rock,2003,109,7.2,82,"3,10,670",$81.26M,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band.",Richard Linklater,"['Jack Black', 'Mike White', 'Joan Cusack', 'Adam Pascal']"
28,Kingdom of Heaven,2005,144,7.2,63,"2,92,655",$47.40M,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people.",Ridley Scott,"['Orlando Bloom', 'Eva Green', 'Liam Neeson', 'Martin Hancock']"
29,Meet Joe Black,1998,178,7.2,43,"2,46,275",$44.62M,"Death, who takes the form of a young man killed in an accident, asks a media mogul to act as his guide to teach him about life on Earth and, in the process, he falls in love with the mogul's daughter.",Martin Brest,"['Brad Pitt', 'Anthony Hopkins', 'Claire Forlani', 'Jake Weber']"
30,Vanishing Point,1971,99,7.2,61,"29,124",*****,"During the 1970s, car delivery driver Kowalski delivers hot rods in record time but always runs into trouble with the highway cops.",Richard C. Sarafian,"['Barry Newman', 'Cleavon Little', 'Charlotte Rampling', 'Dean Jagger']"
31,Turist,2014,120,7.2,87,"58,989",$1.36M,A family vacationing in the French Alps is confronted with a devastating avalanche.,Ruben Östlund,"['Johannes Kuhnke', 'Lisa Loven Kongsli', 'Clara Wettergren', 'Vincent Wettergren']"
32,The Road,I 2009,111,7.2,64,"2,42,174",$0.06M,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.",John Hillcoat,"['Viggo Mortensen', 'Charlize Theron', 'Kodi Smit-McPhee', 'Robert Duvall']"
33,Heathers,1988,103,7.2,72,"1,06,843",$1.11M,"At Westerburg High where cliques rule, jocks dominate and all the popular girls are named Heather, it's going to take a Veronica and mysterious new kid to give teen angst a body count.",Michael Lehmann,"['Winona Ryder', 'Christian Slater', 'Shannen Doherty', 'Lisanne Falk']"
34,Caddyshack,1980,98,7.2,48,"1,20,322",$39.85M,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,Harold Ramis,"['Chevy Chase', 'Rodney Dangerfield', 'Bill Murray', 'Ted Knight']"
35,Five Feet Apart,2019,116,7.2,53,"69,973",$45.73M,"A pair of teenagers with cystic fibrosis meet in a hospital and fall in love, though their disease means they must avoid close physical contact.",Justin Baldoni,"['Haley Lu Richardson', 'Cole Sprouse', 'Moises Arias', 'Kimberly Hebert Gregory']"
36,Shame,2011,101,7.2,72,"1,98,239",$4.00M,A sex addict's carefully cultivated private life falls apart after his sister arrives for an indefinite stay.,Steve McQueen,"['Michael Fassbender', 'Carey Mulligan', 'James Badge Dale', 'Lucy Walters']"
37,A Bug's Life,I 1998,95,7.2,77,"2,96,744",$162.80M,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.","Directors:John Lasseter, Andrew Stanton","['Kevin Spacey', 'David Foley', 'Julia Louis-Dreyfus', 'Hayden Panettiere']"
38,10 Cloverfield Lane,2016,103,7.2,76,"3,33,020",$72.08M,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,Dan Trachtenberg,"['John Goodman', 'Mary Elizabeth Winstead', 'John Gallagher Jr.', 'Douglas M. Griffin']"
39,The Prince of Egypt,1998,99,7.2,64,"1,35,100",$101.22M,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.,"Directors:Brenda Chapman, Steve Hickner, Simon Wells","['Val Kilmer', 'Ralph Fiennes', 'Michelle Pfeiffer', 'Sandra Bullock']"
40,They Live,1988,94,7.2,55,"1,33,040",$13.01M,They influence our decisions without us knowing it. They numb our senses without us feeling it. They control our lives without us realizing it. They live.,John Carpenter,"['Roddy Piper', 'Keith David', 'Meg Foster', ""George 'Buck' Flower""]"
41,Now You See Me,I 2013,115,7.2,50,"6,66,641",$117.72M,"An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.",Louis Leterrier,"['Jesse Eisenberg', 'Common', 'Mark Ruffalo', 'Woody Harrelson']"
42,The Phantom of the Opera,2004,143,7.2,40,"1,24,866",$51.27M,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.,Joel Schumacher,"['Gerard Butler', 'Emmy Rossum', 'Patrick Wilson', 'Miranda Richardson']"
43,Sunshine,2007,107,7.2,64,"2,53,501",$3.68M,A team of international astronauts are sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,Danny Boyle,"['Cillian Murphy', 'Rose Byrne', 'Chris Evans', 'Cliff Curtis']"
44,I Am Legend,2007,101,7.2,65,"7,65,676",$256.39M,"Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.",Francis Lawrence,"['Will Smith', 'Alice Braga', 'Charlie Tahan', 'Salli Richardson-Whitfield']"
45,Chicago,2002,113,7.2,81,"2,32,813",$170.69M,"Two death-row murderesses develop a fierce rivalry while competing for publicity, celebrity, and a sleazy lawyer's attention.",Rob Marshall,"['Renée Zellweger', 'Catherine Zeta-Jones', 'Richard Gere', 'Taye Diggs']"
46,GoldenEye,1995,130,7.2,65,"2,59,921",$106.60M,"Years after a friend and fellow 00 agent is killed on a joint mission, a Russian crime syndicate steals a secret space-based weapons program known as ""GoldenEye"" and James Bond has to stop them from using it.",Martin Campbell,"['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen']"
47,Murder on the Orient Express,1974,128,7.2,63,"64,128",$0.07M,"In December 1935, when his transcontinental luxury train is stranded by deep snow, detective Hercule Poirot is called on to solve a murder that occurred in his car the night before, with a multitude of suspects.",Sidney Lumet,"['Albert Finney', 'Lauren Bacall', 'Ingrid Bergman', 'Sean Connery']"
48,The Descent,2005,99,7.2,71,"2,29,106",$26.02M,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators.",Neil Marshall,"['Shauna Macdonald', 'Natalie Mendoza', 'Alex Reid', 'Saskia Mulder']"
49,Red Dragon,2002,124,7.2,60,"2,77,084",$93.15M,"A retired FBI agent with psychological gifts is assigned to help track down ""The Tooth Fairy"", a mysterious serial killer. Aiding him is imprisoned forensic psychiatrist Dr. Hannibal ""The Cannibal"" Lecter.",Brett Ratner,"['Anthony Hopkins', 'Edward Norton', 'Ralph Fiennes', 'Harvey Keitel']"
0,The Virgin Suicides,1999,97,7.2,76,"1,57,663",$4.86M,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s.",Sofia Coppola,"['Kirsten Dunst', 'Josh Hartnett', 'James Woods', 'Kathleen Turner']"
1,The Butler,I 2013,132,7.2,65,"1,16,432",$116.63M,"As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society.",Lee Daniels,"['Forest Whitaker', 'Oprah Winfrey', 'John Cusack', 'Jane Fonda']"
2,Friday,1995,91,7.2,54,"1,16,129",$27.47M,"It's Friday, and Craig and Smokey must come up with $200 they owe a local bully or there won't be a Saturday.",F. Gary Gray,"['Ice Cube', 'Chris Tucker', 'Nia Long', 'Tom Lister Jr.']"
3,Kynodontas,2009,97,7.2,73,"98,407",$0.11M,"A controlling, manipulative father locks his three adult offspring in a state of perpetual childhood by keeping them prisoner within the sprawling family compound.",Yorgos Lanthimos,"['Christos Stergioglou', 'Michele Valley', 'Angeliki Papoulia', 'Christos Passalis']"
4,Unbroken,I 2014,137,7.2,59,"1,70,908",$115.64M,"After a near-fatal plane crash in WWII, Olympian Louis Zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the Japanese navy and sent to a prisoner-of-war camp.",Angelina Jolie,"[""Jack O'Connell"", 'Miyavi', 'Domhnall Gleeson', 'Garrett Hedlund']"
5,Red Rocket,2021,130,7.2,76,"25,760",*****,"Mikey Saber is a washed-up porn star who returns to his small Texas hometown, not that anyone really wants him back.",Sean Baker,"['Simon Rex', 'Bree Elrod', 'Suzanna Son', 'Brenda Deiss']"
6,RocknRolla,2008,114,7.2,53,"2,55,325",$5.69M,"When a Russian mobster orchestrates a crooked land deal, millions of dollars are up for grabs, drawing in the entire London underworld into a feeding frenzy at a time when the old criminal regime is losing turf to a wealthy foreign mob.",Guy Ritchie,"['Gerard Butler', 'Tom Wilkinson', 'Idris Elba', 'Thandiwe Newton']"
7,Death on the Nile,1978,140,7.2,59,"36,060",*****,"As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?",John Guillermin,"['Peter Ustinov', 'Mia Farrow', 'Simon MacCorkindale', 'Jane Birkin']"
8,Vice,2018,132,7.2,61,"1,50,455",$47.84M,"The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that are still felt today.",Adam McKay,"['Christian Bale', 'Amy Adams', 'Steve Carell', 'Sam Rockwell']"
9,Carol,2015,118,7.2,94,"1,32,332",$12.71M,An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.,Todd Haynes,"['Cate Blanchett', 'Rooney Mara', 'Sarah Paulson', 'Kyle Chandler']"
10,Manhunter,1986,120,7.2,75,"75,139",$8.62M,"Former FBI profiler Will Graham returns to service to pursue a deranged serial killer dubbed ""the Tooth Fairy"" by the media.",Michael Mann,"['William Petersen', 'Kim Greist', 'Joan Allen', 'Brian Cox']"
11,The Bank Job,2008,111,7.2,69,"1,83,550",$30.06M,Martine offers Terry a lead on a foolproof bank hit on London's Baker Street. She targets a roomful of safe deposit boxes worth millions in cash and jewelry along with a treasure trove of dirty secrets.,Roger Donaldson,"['Jason Statham', 'Saffron Burrows', 'Stephen Campbell Moore', 'Daniel Mays']"
